library	read_counts
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-RA-J21_2.fastq.gz	19570407
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-JV-M21_1.fastq.gz	20391943
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-HP-M21_2.fastq.gz	26742252
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-AM-A20_1.fastq.gz	22925778
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-GM-A20_2.fastq.gz	20826312
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-HP-A20_2.fastq.gz	23273526
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-JV-M20_1.fastq.gz	22160278
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-BH-M20_2.fastq.gz	25997173
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-PL-M20_2.fastq.gz	22564424
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-HP-J21_2.fastq.gz	25899828
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-GM-J21_1.fastq.gz	19362288
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-RA-M21_2.fastq.gz	25578251
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-AM-J21_2.fastq.gz	19338439
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-PL-M21_2.fastq.gz	25704103
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-VA-M21_1.fastq.gz	28251567
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-RA-A20_1.fastq.gz	19921744
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-RA-J21_2.fastq.gz	25858648
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-GM-M21_1.fastq.gz	23787108
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-AM-M20_1.fastq.gz	20755001
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-AM-A20_1.fastq.gz	22447435
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-JV-M20_2.fastq.gz	23194047
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-GM-A20_1.fastq.gz	23338986
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-HP-A20_1.fastq.gz	23159023
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-BH-M20_1.fastq.gz	23302207
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-HP-J21_2.fastq.gz	27197203
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-PL-M20_2.fastq.gz	24818713
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-PL-A20_2.fastq.gz	23282631
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-VA-M20_2.fastq.gz	3756360
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-JV-J21_1.fastq.gz	20623171
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-GM-J21_1.fastq.gz	22439473
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-RA-J21_1.fastq.gz	20572222
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-AM-A20_2.fastq.gz	23242812
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-JV-M21_1.fastq.gz	26705554
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-RA-A20_1.fastq.gz	24663505
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-PL-M21_1.fastq.gz	19377376
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-VA-M21_1.fastq.gz	27656090
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-AM-J21_2.fastq.gz	21097525
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-PL-M20_1.fastq.gz	20940029
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-HP-J21_1.fastq.gz	22619524
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-GM-J21_1.fastq.gz	27265640
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-BH-M20_1.fastq.gz	23173717
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-GM-M20_2.fastq.gz	23087172
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/T-AM-M21_2.fastq.gz	27325625
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-HP-A20_1.fastq.gz	23279205
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-JV-M20_2.fastq.gz	23068243
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-VA-J21_1.fastq.gz	28079094
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-AM-M21_2.fastq.gz	26447857
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-JV-A20_1.fastq.gz	24896961
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-PL-J21_2.fastq.gz	24446436
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/M-HP-M20_2.fastq.gz	24093169
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/R-GM-M20_2.fastq.gz	28739857
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-PL-A20_2.fastq.gz	22867393
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/D-JV-J21_1.fastq.gz	26446402
/data/processed/ME/zwart_group/diekeb/2022_viruspipeline_field/data_trimmed/C-RA-M21_2.fastq.gz	26705018
